axis,left_entry,right_entry,left_value,right_value,fixed_coordinate_1,fixed_coordinate_2,delta_ms,Delta_ms,b_s_mm2,correlation
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,6000.0,0.48382726306604507
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,6500.0,0.4834051501222519
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,7000.0,0.47380988469720897
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,7500.0,0.45480869294711607
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,8000.0,0.42476007219553297
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,8500.0,0.3846145405589119
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,9000.0,0.3387858750937563
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,9500.0,0.2930545622826348
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,10000.0,0.2520284976790492
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,10500.0,0.2172801458710724
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,11000.0,0.1870188779865143
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,11500.0,0.15803154848413173
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,12000.0,0.12856312742786768
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,0.0,
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,500.0,0.4711701103663049
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,1000.0,0.4253147915262269
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,1500.0,0.41404302348181504
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,2000.0,0.43220260747377526
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,2500.0,0.487743527247228
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,3000.0,0.5578962775065206
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,3500.0,0.6007536720603328
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,4000.0,0.5968612421594804
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,4500.0,0.5584041726684156
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,5000.0,0.5041230249752227
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,5500.0,0.44234502593096325
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,6000.0,0.3726155286039545
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,6500.0,0.29283799779967845
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,7000.0,0.20488387867613087
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,7500.0,0.1168046357310159
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,8000.0,0.041228900417680556
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,8500.0,-0.009991663023540362
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,9000.0,-0.03207064155320688
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,9500.0,-0.02927164995124212
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,10000.0,-0.011293649165867172
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,10500.0,0.011900321268610776
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,11000.0,0.03319008473796875
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,11500.0,0.04884874856855385
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,30.0,80.0,12000.0,0.05748325093141433
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,0.0,
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,500.0,0.722117337387982
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,1000.0,0.7121784946795248
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,1500.0,0.7169149135057953
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,2000.0,0.7191019579792449
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,2500.0,0.6986238746716791
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,3000.0,0.6511012783959418
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,3500.0,0.588027422199538
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,4000.0,0.5234734994757884
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,4500.0,0.47551756815009444
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,5000.0,0.4617226140429201
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,5500.0,0.48397463443349076
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,6000.0,0.5233557691066891
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,6500.0,0.5556461889934413
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,7000.0,0.5679933877892894
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,7500.0,0.5595923964833257
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,8000.0,0.5339064781621378
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,8500.0,0.4939627988512169
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,9000.0,0.4426128270560051
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,9500.0,0.38475656242256356
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,10000.0,0.3287989349687055
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,10500.0,0.2854869373385519
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,11000.0,0.263543737908574
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,11500.0,0.26528157122302626
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,5.0,15.0,12000.0,0.28681286339708134
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,7.0,25.0,0.0,
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,7.0,25.0,500.0,0.7247051519546638
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,7.0,25.0,1000.0,0.7134869065225327
rho,3,9,71968.56730011514,80308.5722139152,19.0,6.2962652107424715,7.0,25.0,1500.0,0.6489384807306189
