delta_ms,Delta_ms,b_s_mm2,n,min,q05,q25,median,q75,q95,max,mean
12.0,36.0,3500.0,39,0.00020118841996367686,0.0002115963423432661,0.000242731115361892,0.00027078949950626134,0.000285423548328024,0.0003231479008824905,0.00035059878062332345,0.00026529946990423844
12.0,36.0,4000.0,39,0.00019559914573973364,0.00019963425664132177,0.00022920917255854224,0.00024329915683766085,0.0002654833820154488,0.000300973024655078,0.00032378710740184926,0.0002473622531733804
12.0,36.0,4500.0,39,0.0001874286531457984,0.00019615263526177008,0.00021429869671658566,0.00022915704394101962,0.00025227774405768403,0.000285526134937633,0.0003032136213805966,0.00023408833192864513
12.0,36.0,5000.0,39,0.0001840225968495891,0.00019161688997447777,0.0002086517425267244,0.00021789600785649513,0.0002355301120245046,0.00027352422378112463,0.00029086298619746063,0.00022451605229831354
12.0,36.0,5500.0,39,0.0001814131496106445,0.00018770198986882306,0.00020309669761240984,0.00021089721703212717,0.0002235359297259752,0.0002635370913996827,0.0002806942849220263,0.00021733315797525237
12.0,36.0,6000.0,39,0.00017301569922255529,0.0001857911125054069,0.00019793797189199307,0.0002052938475426332,0.00022252378547960115,0.00025460569821733083,0.00027059134897992844,0.00021163523068462245
12.0,36.0,6500.0,39,0.0001671894030058468,0.0001806468402392704,0.00019309164755987478,0.00020220093309631726,0.00022290198516472244,0.000246182385730463,0.00025989849537833476,0.00020715888899825672
12.0,36.0,7000.0,39,0.00016473906064750845,0.00017761478901111635,0.0001875866868001872,0.00020229065481577012,0.00021448248021996297,0.00023812816161228865,0.0002483803860794001,0.00020396062494958537
12.0,36.0,7500.0,39,0.00016592660463245735,0.00017760094712038172,0.00018758077496896483,0.0002013249314375212,0.00021150951702317218,0.00023673974554698284,0.0002442168884074732,0.0002020176353083137
12.0,36.0,8000.0,39,0.0001686004337742133,0.00017543272460610653,0.0001877771114563567,0.0001975786862843245,0.00021401199330114103,0.00023254926708085133,0.00024666651843944164,0.00020105890704265322
12.0,36.0,8500.0,39,0.00017010081255969505,0.00017669036669118343,0.00018877197172048946,0.00019619251776907927,0.0002129523475364518,0.0002289422579573362,0.00024565141023225365,0.00020063060105910397
12.0,36.0,9000.0,39,0.00017213672811654024,0.0001788303441674354,0.00019083389996938743,0.00019692905584388422,0.0002061456050750619,0.00022924566867609176,0.00024221037208224715,0.0002002564362427229
12.0,36.0,9500.0,39,0.00017362595462254275,0.00017796465518127262,0.00019158270915740322,0.00019656432008239175,0.00020581137273118313,0.00022804618969350996,0.0002377283117614619,0.00019958292706053084
12.0,36.0,10000.0,39,0.00017299338137344295,0.00017961064872736786,0.00018893795847420552,0.00019774842120136828,0.00020392765713985307,0.00022482254307603982,0.00023318349927421627,0.00019844589221316568
12.0,36.0,10500.0,39,0.00016971210734965746,0.0001753054788145624,0.00018412981902733537,0.00019453514094769773,0.00020837397201086102,0.0002200183418898668,0.00022871257066366276,0.00019685765608745437
12.0,36.0,11000.0,39,0.0001676792883516411,0.00017308672209263436,0.00018166863155791584,0.00019398262916747367,0.00020861767938963984,0.00021712456910936908,0.00022368726634876826,0.00019496931643393756
12.0,36.0,11500.0,39,0.00016561089787672933,0.0001700696101630443,0.0001775752671131291,0.00019324640648693314,0.0002075748688393545,0.0002156611513660065,0.00022231025874860284,0.00019303636580381557
12.0,36.0,12000.0,39,0.00016336846576240136,0.00016737688331175377,0.00017495044170303916,0.00019339772415665984,0.00020404109628516874,0.00021764065090332593,0.0002265093574509869,0.0001913676068017013
15.0,40.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,40.0,500.0,39,0.0001708804104681724,0.00018161481803072172,0.00020216389244405095,0.00021629698926245558,0.00032207362004908096,0.0004338846267941275,0.00044681130224652157,0.00027045245665489024
15.0,40.0,1000.0,39,0.00022912344250560003,0.00023314835969226835,0.00024193964131418903,0.0002674213784984529,0.00040707903426477827,0.0005263700090818975,0.0005470215110095448,0.00033523243834408665
15.0,40.0,1500.0,39,0.00023491933207949115,0.0002457368495342794,0.0002615230088310967,0.00028808624112678445,0.0004146555288495733,0.0005247792977241907,0.0005521086788367194,0.0003407149990955677
15.0,40.0,2000.0,39,0.00023267349633328654,0.00023755869058950934,0.00025727761296056445,0.00029345368026096144,0.0003869492259007981,0.00047839749754735285,0.0005107634047386704,0.0003253413970571956
